# mock spectrum  center=2440000000Hz  rate=2400000Hz  bins=512
freq_hz,power_dbm
2438800000.000,-94.459
2438804696.673,-95.028
2438809393.346,-95.266
2438814090.020,-90.547
2438818786.693,-94.843
2438823483.366,-93.879
2438828180.039,-96.638
2438832876.712,-95.310
2438837573.386,-95.956
2438842270.059,-94.414
2438846966.732,-94.450
2438851663.405,-95.572
2438856360.078,-94.166
2438861056.751,-95.715
2438865753.425,-94.541
2438870450.098,-97.044
2438875146.771,-92.174
2438879843.444,-94.205
2438884540.117,-93.896
2438889236.791,-92.540
2438893933.464,-94.946
2438898630.137,-92.768
2438903326.810,-92.574
2438908023.483,-94.446
2438912720.157,-97.337
2438917416.830,-95.157
2438922113.503,-95.511
2438926810.176,-95.301
2438931506.849,-95.408
2438936203.523,-95.615
2438940900.196,-96.265
2438945596.869,-97.025
2438950293.542,-94.001
2438954990.215,-93.530
2438959686.888,-94.044
2438964383.562,-95.144
2438969080.235,-95.659
2438973776.908,-94.745
2438978473.581,-93.866
2438983170.254,-93.243
2438987866.928,-95.887
2438992563.601,-94.285
2438997260.274,-92.781
2439001956.947,-94.963
2439006653.620,-93.453
2439011350.294,-94.383
2439016046.967,-95.341
2439020743.640,-95.205
2439025440.313,-93.001
2439030136.986,-93.690
2439034833.659,-95.341
2439039530.333,-95.129
2439044227.006,-93.561
2439048923.679,-93.537
2439053620.352,-94.173
2439058317.025,-94.618
2439063013.699,-96.424
2439067710.372,-95.848
2439072407.045,-96.397
2439077103.718,-96.895
2439081800.391,-93.994
2439086497.065,-94.627
2439091193.738,-96.078
2439095890.411,-94.884
2439100587.084,-99.182
2439105283.757,-96.302
2439109980.431,-95.661
2439114677.104,-94.590
2439119373.777,-95.746
2439124070.450,-97.528
2439128767.123,-93.856
2439133463.796,-96.648
2439138160.470,-96.725
2439142857.143,-95.705
2439147553.816,-93.664
2439152250.489,-96.080
2439156947.162,-94.979
2439161643.836,-92.799
2439166340.509,-94.835
2439171037.182,-94.468
2439175733.855,-94.593
2439180430.528,-95.811
2439185127.202,-95.354
2439189823.875,-94.261
2439194520.548,-95.930
2439199217.221,-96.615
2439203913.894,-94.081
2439208610.568,-96.281
2439213307.241,-96.863
2439218003.914,-95.502
2439222700.587,-97.300
2439227397.260,-93.213
2439232093.933,-93.933
2439236790.607,-95.186
2439241487.280,-95.198
2439246183.953,-94.757
2439250880.626,-95.045
2439255577.299,-95.165
2439260273.973,-96.530
2439264970.646,-95.508
2439269667.319,-93.887
2439274363.992,-98.306
2439279060.665,-98.184
2439283757.339,-92.522
2439288454.012,-94.702
2439293150.685,-96.708
2439297847.358,-94.515
2439302544.031,-94.380
2439307240.705,-93.743
2439311937.378,-94.723
2439316634.051,-93.734
2439321330.724,-98.511
2439326027.397,-93.443
2439330724.070,-94.575
2439335420.744,-97.401
2439340117.417,-96.347
2439344814.090,-94.657
2439349510.763,-92.563
2439354207.436,-94.719
2439358904.110,-94.399
2439363600.783,-97.568
2439368297.456,-95.373
2439372994.129,-96.352
2439377690.802,-94.812
2439382387.476,-96.993
2439387084.149,-95.325
2439391780.822,-94.034
2439396477.495,-96.150
2439401174.168,-95.512
2439405870.841,-97.141
2439410567.515,-91.725
2439415264.188,-93.244
2439419960.861,-96.707
2439424657.534,-93.326
2439429354.207,-94.268
2439434050.881,-95.332
2439438747.554,-96.546
2439443444.227,-96.543
2439448140.900,-92.336
2439452837.573,-94.817
2439457534.247,-95.253
2439462230.920,-96.862
2439466927.593,-94.984
2439471624.266,-95.278
2439476320.939,-95.403
2439481017.613,-96.651
2439485714.286,-93.469
2439490410.959,-95.794
2439495107.632,-93.834
2439499804.305,-95.511
2439504500.978,-95.288
2439509197.652,-93.090
2439513894.325,-95.242
2439518590.998,-94.652
