# mock spectrum  center=2440000000Hz  rate=2400000Hz  bins=512
freq_hz,power_dbm
2438800000.000,-95.052
2438804696.673,-92.944
2438809393.346,-95.551
2438814090.020,-96.549
2438818786.693,-95.785
2438823483.366,-96.707
2438828180.039,-92.133
2438832876.712,-94.800
2438837573.386,-95.195
2438842270.059,-95.103
2438846966.732,-96.360
2438851663.405,-96.583
2438856360.078,-95.375
2438861056.751,-98.151
2438865753.425,-95.058
2438870450.098,-93.309
2438875146.771,-96.483
2438879843.444,-95.766
2438884540.117,-95.158
2438889236.791,-94.858
2438893933.464,-98.026
2438898630.137,-95.278
2438903326.810,-94.983
2438908023.483,-96.687
2438912720.157,-92.355
2438917416.830,-94.262
2438922113.503,-96.581
2438926810.176,-94.840
2438931506.849,-95.045
2438936203.523,-96.248
2438940900.196,-96.031
2438945596.869,-95.542
2438950293.542,-94.936
2438954990.215,-96.193
2438959686.888,-95.410
2438964383.562,-97.249
2438969080.235,-95.497
2438973776.908,-92.553
2438978473.581,-93.605
2438983170.254,-97.079
2438987866.928,-97.664
2438992563.601,-96.604
2438997260.274,-96.764
2439001956.947,-96.188
2439006653.620,-95.351
2439011350.294,-93.782
2439016046.967,-97.874
2439020743.640,-94.166
2439025440.313,-96.539
2439030136.986,-95.901
2439034833.659,-93.664
2439039530.333,-95.283
2439044227.006,-93.186
2439048923.679,-92.905
2439053620.352,-95.413
2439058317.025,-95.918
2439063013.699,-93.662
2439067710.372,-95.196
2439072407.045,-96.723
2439077103.718,-92.335
2439081800.391,-94.615
2439086497.065,-94.320
2439091193.738,-94.253
2439095890.411,-93.409
2439100587.084,-94.014
2439105283.757,-94.447
2439109980.431,-92.342
2439114677.104,-95.887
2439119373.777,-95.693
2439124070.450,-93.756
2439128767.123,-96.700
2439133463.796,-92.850
2439138160.470,-93.403
2439142857.143,-90.986
2439147553.816,-93.634
2439152250.489,-96.343
2439156947.162,-94.907
2439161643.836,-94.670
2439166340.509,-94.859
2439171037.182,-95.840
2439175733.855,-89.462
2439180430.528,-92.632
2439185127.202,-96.051
2439189823.875,-94.536
2439194520.548,-94.984
2439199217.221,-95.675
2439203913.894,-95.653
2439208610.568,-94.001
2439213307.241,-95.684
2439218003.914,-95.213
2439222700.587,-94.054
2439227397.260,-95.718
2439232093.933,-92.647
2439236790.607,-96.940
2439241487.280,-93.447
2439246183.953,-96.307
2439250880.626,-94.580
2439255577.299,-94.995
2439260273.973,-95.047
2439264970.646,-94.283
2439269667.319,-95.479
2439274363.992,-95.511
2439279060.665,-98.760
2439283757.339,-94.444
2439288454.012,-94.506
2439293150.685,-92.459
2439297847.358,-94.371
2439302544.031,-92.600
2439307240.705,-96.760
2439311937.378,-95.577
2439316634.051,-94.281
2439321330.724,-95.643
2439326027.397,-94.879
2439330724.070,-93.710
2439335420.744,-95.464
2439340117.417,-93.315
2439344814.090,-94.072
2439349510.763,-92.741
2439354207.436,-93.859
2439358904.110,-93.166
2439363600.783,-97.385
2439368297.456,-94.402
2439372994.129,-95.060
2439377690.802,-97.752
2439382387.476,-93.610
2439387084.149,-98.256
2439391780.822,-92.770
2439396477.495,-95.917
2439401174.168,-94.175
2439405870.841,-97.066
2439410567.515,-92.919
2439415264.188,-96.703
2439419960.861,-94.339
2439424657.534,-95.772
2439429354.207,-94.438
2439434050.881,-94.290
2439438747.554,-95.676
2439443444.227,-95.524
2439448140.900,-95.301
2439452837.573,-94.078
2439457534.247,-96.265
2439462230.920,-95.299
2439466927.593,-96.034
2439471624.266,-95.661
2439476320.939,-94.014
2439481017.613,-96.637
2439485714.286,-91.215
2439490410.959,-93.931
2439495107.632,-94.942
2439499804.305,-96.136
2439504500.978,-94.966
2439509197.652,-94.657
2439513894.325,-92.314
2439518590.998,-93.588
2439523287.671,-95.442
2439527984.344,-95.285
2439532681.018,-94.452
2439537377.691,-92.598
2439542074.364,-95.503
2439546771.037,-94.889
2439551467.710,-95.010
2439556164.384,-93.044
2439560861.057,-95.754
2439565557.730,-95.546
2439570254.403,-97.257
2439574951.076,-95.187
2439579647.750,-92.476
2439584344.423,-94.854
2439589041.096,-94.135
2439593737.769,-96.079
2439598434.442,-94.040
2439603131.115,-94.280
2439607827.789,-94.579
2439612524.462,-92.231
2439617221.135,-92.448
2439621917.808,-89.751
2439626614.481,-89.239
2439631311.155,-86.723
2439636007.828,-87.228
2439640704.501,-83.035
2439645401.174,-81.699
2439650097.847,-78.403
2439654794.521,-79.807
2439659491.194,-78.339
2439664187.867,-78.563
2439668884.540,-79.237
2439673581.213,-77.549
2439678277.886,-82.495
2439682974.560,-81.571
2439687671.233,-83.558
2439692367.906,-85.958
2439697064.579,-86.312
2439701761.252,-86.935
2439706457.926,-89.857
2439711154.599,-94.239
2439715851.272,-91.166
2439720547.945,-91.832
2439725244.618,-95.117
2439729941.292,-91.903
2439734637.965,-96.303
2439739334.638,-95.782
2439744031.311,-94.615
2439748727.984,-94.221
2439753424.658,-96.738
2439758121.331,-95.873
2439762818.004,-95.514
2439767514.677,-97.754
2439772211.350,-94.693
2439776908.023,-95.110
2439781604.697,-96.015
2439786301.370,-94.545
2439790998.043,-95.493
2439795694.716,-98.163
2439800391.389,-93.963
2439805088.063,-94.987
2439809784.736,-93.942
2439814481.409,-94.709
2439819178.082,-94.495
2439823874.755,-92.894
2439828571.429,-94.166
2439833268.102,-94.419
2439837964.775,-97.244
2439842661.448,-94.980
2439847358.121,-93.244
2439852054.795,-96.085
2439856751.468,-96.492
2439861448.141,-95.504
2439866144.814,-97.948
2439870841.487,-93.858
2439875538.160,-97.335
2439880234.834,-94.840
2439884931.507,-95.191
2439889628.180,-92.521
2439894324.853,-96.522
2439899021.526,-91.553
2439903718.200,-95.447
2439908414.873,-94.102
2439913111.546,-94.926
2439917808.219,-96.774
2439922504.892,-93.581
2439927201.566,-94.740
2439931898.239,-96.397
2439936594.912,-93.240
2439941291.585,-95.049
2439945988.258,-96.734
2439950684.932,-94.880
2439955381.605,-94.927
2439960078.278,-91.948
2439964774.951,-95.819
2439969471.624,-93.736
2439974168.297,-95.326
2439978864.971,-93.353
2439983561.644,-94.464
2439988258.317,-97.056
2439992954.990,-92.424
2439997651.663,-95.740
2440002348.337,-93.954
2440007045.010,-96.168
2440011741.683,-95.352
2440016438.356,-93.709
2440021135.029,-95.712
2440025831.703,-96.293
2440030528.376,-95.599
2440035225.049,-95.435
2440039921.722,-96.536
2440044618.395,-92.176
2440049315.068,-95.685
2440054011.742,-94.875
2440058708.415,-94.164
2440063405.088,-92.754
2440068101.761,-96.907
2440072798.434,-92.834
2440077495.108,-95.614
2440082191.781,-97.707
2440086888.454,-93.878
2440091585.127,-96.088
2440096281.800,-95.392
2440100978.474,-96.841
2440105675.147,-95.162
2440110371.820,-91.923
2440115068.493,-93.386
2440119765.166,-97.421
2440124461.840,-90.431
2440129158.513,-95.092
2440133855.186,-94.734
2440138551.859,-95.083
2440143248.532,-94.893
2440147945.205,-94.477
2440152641.879,-95.622
2440157338.552,-95.129
2440162035.225,-93.844
2440166731.898,-93.854
2440171428.571,-92.300
2440176125.245,-92.341
2440180821.918,-94.444
2440185518.591,-93.785
2440190215.264,-97.403
2440194911.937,-93.797
2440199608.611,-92.793
2440204305.284,-94.091
2440209001.957,-95.124
2440213698.630,-93.731
2440218395.303,-93.369
2440223091.977,-98.432
